questions,answers,tags
Hi,Hello,welcome
Hi,Glad to see you again,welcome
Hi,"Hi there, How can I help  you",welcome
Hi,Hello! what you are looking for?,welcome
Hi,"Hello, how may I help you",welcome
Hello,Hello,welcome
Hello,Glad to see you again,welcome
Hello,"Hi there, How can I help  you",welcome
Hello,Hello! what you are looking for?,welcome
Hello,"Hello, how may I help you",welcome
How are you,Hello,welcome
How are you,Glad to see you again,welcome
How are you,"Hi there, How can I help  you",welcome
How are you,Hello! what you are looking for?,welcome
How are you,"Hello, how may I help you",welcome
whats up,Hello,welcome
whats up,Glad to see you again,welcome
whats up,"Hi there, How can I help  you",welcome
whats up,Hello! what you are looking for?,welcome
whats up,"Hello, how may I help you",welcome
How do you do,Hello,welcome
How do you do,Glad to see you again,welcome
How do you do,"Hi there, How can I help  you",welcome
How do you do,Hello! what you are looking for?,welcome
How do you do,"Hello, how may I help you",welcome
How’s the day?,Hello,welcome
How’s the day?,Glad to see you again,welcome
How’s the day?,"Hi there, How can I help  you",welcome
How’s the day?,Hello! what you are looking for?,welcome
How’s the day?,"Hello, how may I help you",welcome
Hey are you there,Hello,welcome
Hey are you there,Glad to see you again,welcome
Hey are you there,"Hi there, How can I help  you",welcome
Hey are you there,Hello! what you are looking for?,welcome
Hey are you there,"Hello, how may I help you",welcome
How is everything going,Hello,welcome
How is everything going,Glad to see you again,welcome
How is everything going,"Hi there, How can I help  you",welcome
How is everything going,Hello! what you are looking for?,welcome
How is everything going,"Hello, how may I help you",welcome
glad to meet you,Hello,welcome
glad to meet you,Glad to see you again,welcome
glad to meet you,"Hi there, How can I help  you",welcome
glad to meet you,Hello! what you are looking for?,welcome
glad to meet you,"Hello, how may I help you",welcome
see you. bye,"Hey, Thank you for visiting",endingnote
see you. bye,"Hope to see you again, it was nice talking with you",endingnote
see you. bye, wish you a good day! Hope to have a talk with you later,endingnote
see you. bye,Thanks for your time with us.Hope you enjoyed it and satisfied. See you later,endingnote
see you. bye,Sad to see you go. Come whenever you need to bye from us. Stay intouch.,endingnote
Good Bye,"Hey, Thank you for visiting",endingnote
Good Bye,"Hope to see you again, it was nice talking with you",endingnote
Good Bye, wish you a good day! Hope to have a talk with you later,endingnote
Good Bye,Thanks for your time with us.Hope you enjoyed it and satisfied. See you later,endingnote
Good Bye,Sad to see you go. Come whenever you need to bye from us. Stay intouch.,endingnote
ok then bye,"Hey, Thank you for visiting",endingnote
ok then bye,"Hope to see you again, it was nice talking with you",endingnote
ok then bye, wish you a good day! Hope to have a talk with you later,endingnote
ok then bye,Thanks for your time with us.Hope you enjoyed it and satisfied. See you later,endingnote
ok then bye,Sad to see you go. Come whenever you need to bye from us. Stay intouch.,endingnote
That’ s enough for me,"Hey, Thank you for visiting",endingnote
That’ s enough for me,"Hope to see you again, it was nice talking with you",endingnote
That’ s enough for me, wish you a good day! Hope to have a talk with you later,endingnote
That’ s enough for me,Thanks for your time with us.Hope you enjoyed it and satisfied. See you later,endingnote
That’ s enough for me,Sad to see you go. Come whenever you need to bye from us. Stay intouch.,endingnote
 Im leaving,"Hey, Thank you for visiting",endingnote
 Im leaving,"Hope to see you again, it was nice talking with you",endingnote
 Im leaving, wish you a good day! Hope to have a talk with you later,endingnote
 Im leaving,Thanks for your time with us.Hope you enjoyed it and satisfied. See you later,endingnote
 Im leaving,Sad to see you go. Come whenever you need to bye from us. Stay intouch.,endingnote
See u later! Goodbye,"Hey, Thank you for visiting",endingnote
See u later! Goodbye,"Hope to see you again, it was nice talking with you",endingnote
See u later! Goodbye, wish you a good day! Hope to have a talk with you later,endingnote
See u later! Goodbye,Thanks for your time with us.Hope you enjoyed it and satisfied. See you later,endingnote
See u later! Goodbye,Sad to see you go. Come whenever you need to bye from us. Stay intouch.,endingnote
nice to meet you,"Hey, Thank you for visiting",endingnote
nice to meet you,"Hope to see you again, it was nice talking with you",endingnote
nice to meet you, wish you a good day! Hope to have a talk with you later,endingnote
nice to meet you,Thanks for your time with us.Hope you enjoyed it and satisfied. See you later,endingnote
nice to meet you,Sad to see you go. Come whenever you need to bye from us. Stay intouch.,endingnote
"The bargaining session was fun!I’m happy that I got it at cheap price, see u again","Hey, Thank you for visiting",endingnote
"The bargaining session was fun!I’m happy that I got it at cheap price, see u again","Hope to see you again, it was nice talking with you",endingnote
"The bargaining session was fun!I’m happy that I got it at cheap price, see u again", wish you a good day! Hope to have a talk with you later,endingnote
"The bargaining session was fun!I’m happy that I got it at cheap price, see u again",Thanks for your time with us.Hope you enjoyed it and satisfied. See you later,endingnote
"The bargaining session was fun!I’m happy that I got it at cheap price, see u again",Sad to see you go. Come whenever you need to bye from us. Stay intouch.,endingnote
"Enjoyed the experience, good bye","Hey, Thank you for visiting",endingnote
"Enjoyed the experience, good bye","Hope to see you again, it was nice talking with you",endingnote
"Enjoyed the experience, good bye", wish you a good day! Hope to have a talk with you later,endingnote
"Enjoyed the experience, good bye",Thanks for your time with us.Hope you enjoyed it and satisfied. See you later,endingnote
"Enjoyed the experience, good bye",Sad to see you go. Come whenever you need to bye from us. Stay intouch.,endingnote
whats you name?,"It’s FinBot here, a digital+financial assistant to help you out",name
whats you name?,"You can call me FinBot.Im a chatRobot/chatbot, tell me what you want",name
whats you name?,"I’m FinBot,a digital+financial assistant, I can guide you in our ecommerce website.",name
whats you name?,"Its FinBot Here,a digital +financial assistant. How may I help you?",name
who are you?,"It’s FinBot here, a digital+financial assistant to help you out",name
who are you?,"You can call me FinBot.Im a chatRobot/chatbot, tell me what you want",name
who are you?,"I’m FinBot,a digital+financial assistant, I can guide you in our ecommerce website.",name
who are you?,"Its FinBot Here,a digital +financial assistant. How may I help you?",name
what can I call you,"It’s FinBot here, a digital+financial assistant to help you out",name
what can I call you,"You can call me FinBot.Im a chatRobot/chatbot, tell me what you want",name
what can I call you,"I’m FinBot,a digital+financial assistant, I can guide you in our ecommerce website.",name
what can I call you,"Its FinBot Here,a digital +financial assistant. How may I help you?",name
tell me your name,"It’s FinBot here, a digital+financial assistant to help you out",name
tell me your name,"You can call me FinBot.Im a chatRobot/chatbot, tell me what you want",name
tell me your name,"I’m FinBot,a digital+financial assistant, I can guide you in our ecommerce website.",name
tell me your name,"Its FinBot Here,a digital +financial assistant. How may I help you?",name
Are u a robot,"It’s FinBot here, a digital+financial assistant to help you out",name
Are u a robot,"You can call me FinBot.Im a chatRobot/chatbot, tell me what you want",name
Are u a robot,"I’m FinBot,a digital+financial assistant, I can guide you in our ecommerce website.",name
Are u a robot,"Its FinBot Here,a digital +financial assistant. How may I help you?",name
Are you a chatbot,"It’s FinBot here, a digital+financial assistant to help you out",name
Are you a chatbot,"You can call me FinBot.Im a chatRobot/chatbot, tell me what you want",name
Are you a chatbot,"I’m FinBot,a digital+financial assistant, I can guide you in our ecommerce website.",name
Are you a chatbot,"Its FinBot Here,a digital +financial assistant. How may I help you?",name
I would like to buy something here,"Yes please, we have a lot of new collections for you",shopping
I would like to buy something here,"Ofcourse, there are new offers for you, fantastic selections, choose what interests you!",shopping
I would like to buy something here,"Well casual shoes at Rs 220, this offer won’t stay much",shopping
I would like to buy something here,there are good varieties of coloured shoes too also there are black formal shoes. Take one,shopping
can I buy something,"Yes please, we have a lot of new collections for you",shopping
can I buy something,"Ofcourse, there are new offers for you, fantastic selections, choose what interests you!",shopping
can I buy something,"Well casual shoes at Rs 220, this offer won’t stay much",shopping
can I buy something,there are good varieties of coloured shoes too also there are black formal shoes. Take one,shopping
What all things are there,"Yes please, we have a lot of new collections for you",shopping
What all things are there,"Ofcourse, there are new offers for you, fantastic selections, choose what interests you!",shopping
What all things are there,"Well casual shoes at Rs 220, this offer won’t stay much",shopping
What all things are there,there are good varieties of coloured shoes too also there are black formal shoes. Take one,shopping
can you recommend me something from here,"Yes please, we have a lot of new collections for you",shopping
can you recommend me something from here,"Ofcourse, there are new offers for you, fantastic selections, choose what interests you!",shopping
can you recommend me something from here,"Well casual shoes at Rs 220, this offer won’t stay much",shopping
can you recommend me something from here,there are good varieties of coloured shoes too also there are black formal shoes. Take one,shopping
is there any thing cheaper here,"Yes please, we have a lot of new collections for you",shopping
is there any thing cheaper here,"Ofcourse, there are new offers for you, fantastic selections, choose what interests you!",shopping
is there any thing cheaper here,"Well casual shoes at Rs 220, this offer won’t stay much",shopping
is there any thing cheaper here,there are good varieties of coloured shoes too also there are black formal shoes. Take one,shopping
"Hey, I want a black shoe","Yes please, we have a lot of new collections for you",shopping
